1,Lettuce - Radicchio,"Dilation of Duodenum with Intralum Dev, Perc Endo Approach",4.31
2,"Shrimp - 16/20, Iqf, Shell On","Removal of Nonaut Sub from Sternum, Perc Endo Approach",73.46
3,Appetizer - Tarragon Chicken,"Supplement R Neck Lymph with Autol Sub, Perc Endo Approach",52.63
4,Eggplant - Baby,"Insertion of Intraluminal Device into Esophagus, Via Opening",6.01
5,Ice Cream - Turtles Stick Bar,"Control Bleeding in Left Lower Extremity, Open Approach",87.21
6,Island Oasis - Raspberry,"Removal of Infusion Device from L Ankle Jt, Perc Approach",53.44
7,Chips Potato Salt Vinegar 43g,PET Imag of Brain using Carbon 11,56.24
8,"Mushroom - Morels, Dry","Transfusion of Autol WBC into Central Vein, Open Approach",62.2
9,Brandy Cherry - Mcguinness,"Excision of Right Kidney Pelvis, Perc Approach, Diagn",32.39
10,Foam Tray S2,"Transfuse Allo Unr Cord Bld Stem Cell in Periph Vein, Open",8.48
11,Aspic - Clear,"Transfer Trochlear Nrv to Glossophar Nrv, Perc Endo Approach",83.35
12,Flower - Carnations,"Restriction of Right Axillary Lymphatic, Perc Approach",58.11
13,Tarts Assorted,"Insertion of Int Fix into Coccyx, Perc Endo Approach",67.58
14,Waffle Stix,"Drainage of R Mid Lung Lobe, Perc Endo Approach, Diagn",51.97
15,Beets - Pickled,Osteopathic Treatment of Sacrum w L Velocity H Ampl,84.87
16,Grenadillo,"Excision of Right Lung, Percutaneous Approach, Diagnostic",85.4
17,Salmon - Canned,"Revision of Synthetic Substitute in Face, Perc Approach",51.12
18,Tumeric,"Introduction of Analg/Hypnot/Sedat into Male Reprod, Endo",7.11
19,"Cake Circle, Foil, Scallop","Removal of Autol Sub from Low Intest Tract, Perc Approach",51.26
20,"Bread - Roll, Canadian Dinner","Extirpation of Matter from Pulmonary Trunk, Perc Approach",62.0921,iiji,ijiji,0.04
21,iiji,ijiji,0.04
21,iiji,ijiji,0.04
21,iiji,ijiji,0.04
23,iiji,ijiji,0.04
25,iiji,ijiji,0.04
26,uus,okok,0.05
27,uus,okok,0.05
28,okoko,ookok,15
29,jnj,jnjn,0.03
30,jnj,jnjn,0.03
